Municipal,County,Cases,Date
upper township,cape may county,44,may-9-2020
west cape may,cape may county,2,may-9-2020
west wildwood,cape may county,3,may-9-2020
wildwood,cape may county,30,may-9-2020
wildwood crest,cape may county,9,may-9-2020
woodbine,cape may county,39,may-9-2020
bridgeton,cumberland county,292,may-9-2020
commercial township,cumberland county,15,may-9-2020
deerfield township,cumberland county,17,may-9-2020
downe township,cumberland county,4,may-9-2020
fairfield township,cumberland county,23,may-9-2020
greenwich township,cumberland county,2,may-9-2020
hopewell township,cumberland county,20,may-9-2020
lawrence township,cumberland county,15,may-9-2020
maurice river township,cumberland county,10,may-9-2020
millville,cumberland county,208,may-9-2020
stow creek township,cumberland county,5,may-9-2020
upper deerfield township,cumberland county,37,may-9-2020
vineland,cumberland county,444,may-9-2020
belleville,essex county,874,may-9-2020
bloomfield,essex county,935,may-9-2020
caldwell,essex county,102,may-9-2020
cedar grove,essex county,355,may-9-2020
east orange,essex county,1633,may-9-2020
essex fells,essex county,18,may-9-2020
fairfield township,essex county,122,may-9-2020
glen ridge,essex county,34,may-9-2020
irvington,essex county,1206,may-9-2020
livingston,essex county,423,may-9-2020
maplewood,essex county,264,may-9-2020
millburn,essex county,125,may-9-2020
montclair,essex county,381,may-9-2020
newark,essex county,6147,may-9-2020
north caldwell,essex county,39,may-9-2020
nutley,essex county,449,may-9-2020
city of orange,essex county,761,may-9-2020
roseland,essex county,77,may-9-2020
south orange village,essex county,88,may-9-2020
verona,essex county,109,may-9-2020
west caldwell,essex county,195,may-9-2020
west orange,essex county,1013,may-9-2020
clayton,gloucester county,46,may-9-2020
deptford township,gloucester county,359,may-9-2020
east greenwich township,gloucester county,41,may-9-2020
elk township,gloucester county,22,may-9-2020
franklin township,gloucester county,57,may-9-2020
glassboro,gloucester county,79,may-9-2020
greenwich township,gloucester county,18,may-9-2020
harrison township,gloucester county,41,may-9-2020
logan township,gloucester county,29,may-9-2020
mantua township,gloucester county,63,may-9-2020
monroe township,gloucester county,172,may-9-2020
national park,gloucester county,12,may-9-2020
newfield,gloucester county,1,may-9-2020
paulsboro,gloucester county,41,may-9-2020
pitman,gloucester county,27,may-9-2020
south harrison township,gloucester county,19,may-9-2020
swedesboro,gloucester county,25,may-9-2020
washington township,gloucester county,226,may-9-2020
wenonah,gloucester county,10,may-9-2020
west deptford township,gloucester county,107,may-9-2020
westville,gloucester county,26,may-9-2020
woodbury,gloucester county,55,may-9-2020
woodbury heights,gloucester county,15,may-9-2020
woolwich township,gloucester county,65,may-9-2020
bayonne,hudson county,930,may-9-2020
east newark,hudson county,63,may-9-2020
guttenberg,hudson county,192,may-9-2020
harrison,hudson county,340,may-9-2020
hoboken,hudson county,525,may-9-2020
jersey city,hudson county,6145,may-9-2020
kearny,hudson county,1083,may-9-2020
north bergen,hudson county,2290,may-9-2020
secaucus,hudson county,494,may-9-2020
union city,hudson county,2973,may-9-2020
weehawken,hudson county,283,may-9-2020
west new york,hudson county,1899,may-9-2020
alexandria township,hunterdon county,9,may-9-2020
bethlehem township,hunterdon county,17,may-9-2020
bloomsbury,hunterdon county,5,may-9-2020
califon,hunterdon county,3,may-9-2020
clinton township,hunterdon county,59,may-9-2020
clinton,hunterdon county,24,may-9-2020
delaware township,hunterdon county,15,may-9-2020
east amwell township,hunterdon county,13,may-9-2020
flemington,hunterdon county,44,may-9-2020
franklin township,hunterdon county,13,may-9-2020
frenchtown,hunterdon county,6,may-9-2020
glen gardner,hunterdon county,4,may-9-2020
hampton,hunterdon county,8,may-9-2020
high bridge,hunterdon county,18,may-9-2020
holland township,hunterdon county,20,may-9-2020
kingwood township,hunterdon county,13,may-9-2020
lambertville,hunterdon county,21,may-9-2020
lebanon,hunterdon county,12,may-9-2020
lebanon township,hunterdon county,13,may-9-2020
milford,hunterdon county,3,may-9-2020
raritan township,hunterdon county,136,may-9-2020
readington township,hunterdon county,60,may-9-2020
tewksbury township,hunterdon county,18,may-9-2020
union township,hunterdon county,142,may-9-2020
west amwell township,hunterdon county,16,may-9-2020
east windsor township,mercer county,460,may-9-2020
